100
0	0	0	0
1	0.0125	1	0.0125
2	0.025	2	0.025
3	0.0375	3	0.0375
4	0.05	4	0.05
5	0.0625	5	0.0625
6	0.075	6	0.075
7	0.0875	7	0.0875
8	0.1	8	0.1
9	0.1125	9	0.1125
10	0.125	10	0.125
11	0.1375	11	0.1375
12	0.15	12	0.15
13	0.1625	13	0.1625
14	0.175	14	0.175
15	0.1875	15	0.1875
16	0.2	16	0.2
17	0.2125	17	0.2125
18	0.225	18	0.225
19	0.2375	19	0.2375
20	0.25	20	0.25
21	0.2625	21	0.2625
22	0.275	22	0.275
23	0.2875	23	0.2875
24	0.3	24	0.3
25	0.3125	25	0.3125
26	0.325	26	0.325
27	0.3375	27	0.3375
28	0.35	28	0.35
29	0.3625	29	0.3625
30	0.375	30	0.375
31	0.3875	31	0.3875
32	0.4	32	0.4
33	0.4125	33	0.4125
34	0.425	34	0.425
35	0.4375	35	0.4375
36	0.45	36	0.45
37	0.4625	37	0.4625
38	0.475	38	0.475
39	0.4875	39	0.4875
40	0.5	40	0.5
41	0.5125	41	0.5125
42	0.525	42	0.525
43	0.5375	43	0.5375
44	0.55	44	0.55
45	0.5625	45	0.5625
46	0.575	46	0.575
47	0.5875	47	0.5875
48	0.6	48	0.6
49	0.6125	49	0.6125
50	0.625	50	0.625
51	0.6375	51	0.6375
52	0.65	52	0.65
53	0.6625	53	0.6625
54	0.675	54	0.675
55	0.6875	55	0.6875
56	0.7	56	0.7
57	0.7125	57	0.7125
58	0.725	58	0.725
59	0.7375	59	0.7375
60	0.75	60	0.75
61	0.7625	61	0.7625
62	0.775	62	0.775
63	0.7875	63	0.7875
64	0.8	64	0.8
65	0.8125	65	0.8125
66	0.825	66	0.825
67	0.8375	67	0.8375
68	0.85	68	0.85
69	0.8625	69	0.8625
70	0.875	70	0.875
71	0.8875	71	0.8875
72	0.9	72	0.9
73	0.9125	73	0.9125
74	0.925	74	0.925
75	0.9375	75	0.9375
76	0.95	76	0.95
77	0.9625	77	0.9625
78	0.975	78	0.975
79	0.9875	79	0.9875
80	1	80	1
81	1.0125	81	1.0125
82	1.025	82	1.025
83	1.0375	83	1.0375
84	1.05	84	1.05
85	1.0625	85	1.0625
86	1.075	86	1.075
87	1.0875	87	1.0875
88	1.1	88	1.1
89	1.1125	89	1.1125
90	1.125	90	1.125
91	1.1375	91	1.1375
92	1.15	92	1.15
93	1.1625	93	1.1625
94	1.175	94	1.175
95	1.1875	95	1.1875
96	1.2	96	1.2
97	1.2125	97	1.2125
98	1.225	98	1.225
99	1.2375	99	1.2375
100	1.25	100	1.25
